,alcohol,volatile acidity,citric acid,sulphates,quality,best_quality
157,10.5,0.43,0.42,0.71,5,0
158,9.3,0.68,0.0,0.5,5,0
159,9.3,0.6,0.18,0.57,6,0
160,9.6,0.95,0.03,0.56,5,0
161,9.2,0.68,0.02,1.08,4,0
162,10.0,0.53,0.04,0.56,6,0
163,9.4,0.6,0.26,0.49,5,0
164,9.4,0.59,0.26,0.49,5,0
165,9.5,0.63,0.48,0.62,5,0
166,10.2,0.64,0.1,0.52,5,0
167,9.0,0.55,0.03,0.48,4,0
168,10.4,0.63,0.07,0.55,6,0
169,9.5,0.705,0.24,1.59,5,0
170,9.1,0.885,0.03,0.33,4,0
171,9.2,0.42,0.17,0.61,6,0
172,9.2,0.42,0.17,0.61,6,0
173,11.5,0.62,0.05,0.57,6,0
174,9.5,0.38,0.21,0.47,5,0
175,9.5,0.5,0.04,0.78,5,0
176,9.5,0.38,0.21,0.47,5,0
177,10.5,0.52,0.42,0.61,6,0
178,9.6,0.805,0.0,0.56,5,0
179,9.5,0.61,0.14,0.59,5,0
180,9.5,0.61,0.14,0.59,5,0
181,9.3,0.61,0.49,1.02,5,0
182,9.3,0.73,0.02,0.52,5,0
183,9.3,0.61,0.2,0.58,5,0
184,9.3,0.62,0.21,0.58,6,0
185,9.7,0.31,0.57,0.53,5,0
186,9.2,0.39,0.48,0.55,5,0
187,9.7,0.705,0.1,0.49,5,0
188,9.5,0.5,0.33,0.55,5,0
189,9.5,0.49,0.32,0.55,5,0
190,9.4,0.5,0.35,0.62,5,0
191,9.8,0.37,0.25,0.62,6,0
192,9.5,0.63,0.12,0.61,5,0
193,9.7,0.55,0.21,0.55,5,0
194,9.7,0.55,0.21,0.55,5,0
195,9.4,0.59,0.33,0.54,5,0
196,10.2,0.58,0.3,0.59,5,0
197,10.1,0.3,0.6,0.97,6,0
198,13.0,0.835,0.08,0.85,7,1
199,11.4,1.09,0.06,0.43,4,0
200,10.3,0.32,0.47,0.82,7,1
201,9.3,0.37,0.48,1.03,5,0
202,9.5,0.5,0.11,0.79,5,0
203,9.2,0.42,0.35,0.55,5,0
204,9.2,0.43,0.36,0.56,6,0
205,10.8,0.3,0.74,0.77,7,1
206,10.8,0.3,0.74,0.77,7,1
207,9.3,0.57,0.31,0.53,5,0
208,9.4,0.44,0.28,0.67,5,0
209,10.5,0.3,0.58,0.88,7,1
210,12.4,0.53,0.6,0.86,6,0
211,10.0,0.725,0.24,0.56,6,0
212,10.2,0.44,0.64,0.67,6,0
213,10.1,0.57,0.26,0.43,5,0
214,9.8,0.735,0.08,0.71,6,0
215,10.5,0.49,0.49,0.76,5,0
216,11.0,0.625,0.16,0.57,5,0
217,9.1,0.725,0.22,0.55,5,0
218,9.7,0.49,0.19,0.54,5,0
219,9.5,0.53,0.33,0.6,5,0
220,9.4,0.34,0.37,0.59,6,0
221,9.4,0.53,0.26,0.57,5,0
222,9.5,0.61,0.04,0.6,5,0
223,10.0,0.645,0.25,0.6,6,0
224,10.4,0.635,0.36,0.57,4,0
225,10.5,0.43,0.25,0.58,6,0
226,9.5,0.59,0.5,1.61,6,0
227,9.8,0.82,0.14,0.63,5,0
228,10.5,0.43,0.25,0.58,6,0
229,11.0,0.52,0.25,0.5,5,0
230,12.2,0.48,0.04,0.62,7,1
231,9.9,0.38,0.06,0.52,6,0
232,9.6,0.37,0.2,0.7,6,0
233,11.0,0.52,0.25,0.5,5,0
234,9.0,1.0,0.09,0.55,6,0
235,9.0,0.63,0.0,0.58,6,0
236,9.0,0.63,0.0,0.58,6,0
237,9.2,0.645,0.0,0.58,6,0
238,9.0,0.63,0.0,0.58,6,0
239,9.0,1.0,0.09,0.55,6,0
240,9.3,0.635,0.37,1.09,5,0
241,10.9,0.38,0.56,0.71,6,0
242,9.8,0.58,0.1,0.49,6,0
243,9.2,0.21,0.44,0.84,7,1
244,9.2,0.21,0.44,0.84,7,1
245,9.9,0.66,0.0,0.96,6,0
246,9.5,0.68,0.07,0.52,5,0
247,9.3,0.6,0.17,0.45,5,0
248,9.8,0.53,0.06,0.48,6,0
249,9.9,0.66,0.0,0.96,6,0
250,10.0,0.32,0.44,0.78,6,0
251,9.9,0.6,0.0,0.7,6,0
252,10.5,0.35,0.48,0.53,5,0
253,9.5,0.775,0.42,0.59,5,0
254,9.9,0.6,0.0,0.7,6,0
255,9.3,0.57,0.23,0.57,5,0
256,9.2,0.34,0.37,0.62,5,0
257,9.2,0.695,0.0,0.67,5,0
258,9.4,0.41,0.76,1.26,5,0
259,10.5,0.31,0.47,0.8,7,1
260,9.3,0.33,0.23,0.65,5,0
261,9.4,0.975,0.04,0.6,4,0
262,10.0,0.52,0.03,0.57,5,0
263,9.3,0.37,0.23,0.67,5,0
264,10.9,0.56,0.49,0.87,5,0
265,10.2,0.26,0.52,0.72,7,1
266,9.8,0.87,0.0,0.72,4,0
267,12.8,0.35,0.46,0.86,8,1
268,9.4,0.54,0.04,0.91,6,0
269,10.1,0.18,0.51,0.97,6,0
270,10.7,0.545,0.06,0.67,6,0
271,10.1,0.18,0.51,0.97,6,0
272,10.1,0.37,0.58,0.78,5,0
273,9.4,0.715,0.2,0.64,5,0
274,9.4,0.65,0.18,0.77,5,0
275,10.7,0.545,0.06,0.67,6,0
276,9.4,0.54,0.04,0.91,6,0
277,10.1,0.18,0.51,0.97,6,0
278,12.6,0.32,0.45,0.82,8,1
279,10.5,0.4,0.32,0.77,7,1
280,9.3,0.26,0.44,0.82,6,0
281,9.9,0.27,0.68,1.08,7,1
282,9.1,0.52,0.12,0.57,5,0
283,10.5,0.4,0.32,0.77,7,1
284,9.8,0.59,0.07,0.71,5,0
285,9.8,0.59,0.07,0.71,5,0
286,10.3,0.45,0.55,0.76,6,0
287,10.3,0.4,0.12,0.7,6,0
288,10.6,0.52,0.09,0.86,7,1
289,9.2,0.42,0.53,0.95,5,0
290,10.6,0.52,0.09,0.86,7,1
291,10.5,0.2,0.48,0.71,5,0
292,10.3,0.55,0.23,0.64,6,0
293,10.1,0.36,0.25,0.6,6,0
294,9.5,0.34,0.52,0.81,6,0
295,9.5,0.5,0.46,0.64,5,0
296,9.9,0.83,0.37,0.52,5,0
297,9.6,0.63,0.06,0.73,5,0
298,9.7,0.65,0.02,0.8,5,0
299,9.6,0.67,0.06,0.71,5,0
300,10.7,0.53,0.06,0.59,6,0
301,10.1,0.18,0.48,0.64,6,0
302,10.0,0.705,0.12,0.72,5,0
303,9.5,0.67,0.12,0.54,5,0
304,9.2,0.65,0.6,0.52,5,0
305,9.3,0.53,0.48,0.59,6,0
306,9.4,0.62,0.32,0.52,5,0
307,9.5,0.41,0.42,0.62,6,0
308,9.5,0.43,0.44,0.63,6,0
309,9.5,0.29,0.38,0.53,6,0
310,9.3,0.53,0.48,0.59,6,0
311,9.4,0.53,0.24,0.54,6,0
312,9.5,0.46,0.31,0.63,6,0
313,9.4,0.47,0.3,0.53,5,0
314,11.0,0.36,0.29,0.68,5,0
315,11.0,0.35,0.29,0.65,6,0
316,10.1,0.56,0.23,0.65,5,0
317,10.4,0.77,0.12,0.64,6,0
318,11.5,0.66,0.39,0.71,7,1
319,10.4,0.77,0.12,0.64,6,0
320,11.5,0.66,0.39,0.71,7,1
321,9.7,0.61,0.26,0.62,5,0
322,9.3,0.62,0.05,0.63,5,0
323,9.5,0.59,0.42,0.7,6,0
324,9.2,0.49,0.2,0.69,6,0
325,9.2,0.49,0.2,0.69,6,0
326,11.5,0.53,0.66,0.74,7,1
327,11.5,0.44,0.5,0.83,5,0
328,9.7,0.27,0.62,0.67,6,0
329,9.5,0.46,0.39,0.62,5,0
330,12.5,0.36,0.64,0.66,6,0
331,12.5,0.36,0.64,0.66,6,0
332,9.4,0.58,0.28,0.54,6,0
333,11.0,0.56,0.08,0.52,5,0
334,11.7,0.65,0.01,0.74,7,1
335,12.2,0.695,0.53,0.84,7,1
336,12.5,0.43,0.45,0.7,6,0
337,10.3,0.43,0.32,0.64,5,0
338,11.5,0.49,0.58,1.0,6,0
339,9.8,0.28,0.54,1.36,7,1
340,9.2,0.34,0.5,1.18,6,0
341,11.3,0.42,0.48,0.87,6,0
342,9.8,0.39,0.47,0.75,6,0
343,9.8,0.39,0.47,0.75,6,0
344,10.7,0.57,0.5,0.78,6,0
345,9.9,0.685,0.0,0.81,5,0
346,12.3,0.815,0.02,0.89,7,1
347,12.0,0.49,0.67,0.93,6,0
348,10.0,0.56,0.31,0.92,6,0
349,9.4,0.785,0.0,0.86,6,0
350,9.9,0.67,0.22,0.98,6,0
351,9.4,0.795,0.0,0.83,6,0
352,9.3,0.665,0.0,0.73,5,0
353,13.0,0.53,0.79,0.77,5,0
354,11.9,0.21,0.4,0.59,6,0
355,12.8,0.75,0.01,0.61,6,0
356,11.0,0.41,0.52,0.88,5,0
357,11.7,0.42,0.66,0.75,7,1
358,10.4,0.43,0.66,0.85,7,1
359,9.8,0.38,0.66,0.68,6,0
360,9.4,0.7,0.23,0.7,5,0
361,9.9,0.45,0.31,0.91,6,0
362,10.0,0.58,0.66,0.56,5,0
363,10.2,0.46,0.63,0.87,5,0
364,10.0,0.615,0.66,0.73,7,1
365,11.8,0.42,0.5,0.93,6,0
366,10.0,0.615,0.66,0.73,7,1
367,9.0,0.575,0.61,0.69,5,0
368,9.4,0.34,0.52,0.64,5,0
369,12.0,0.27,0.53,1.13,7,1
370,9.9,0.765,0.02,0.78,5,0
371,8.7,0.24,0.4,0.87,6,0
372,10.6,0.28,0.48,1.04,6,0
373,9.2,0.55,0.22,0.63,5,0
374,10.8,0.41,0.63,0.81,6,0
375,11.8,0.54,0.71,0.83,7,1
376,11.0,0.45,0.5,1.11,6,0
377,12.0,0.27,0.53,1.13,7,1
378,13.3,0.625,0.66,0.99,6,0
379,10.8,0.42,0.38,0.7,6,0
380,9.4,0.26,0.42,0.8,6,0
381,10.0,0.415,0.68,0.8,6,0
382,9.4,0.26,0.42,0.8,6,0
383,9.4,0.26,0.42,0.8,6,0
384,9.2,0.51,0.28,0.74,5,0
385,9.7,0.63,0.07,0.76,6,0
386,9.2,0.54,0.26,0.74,6,0
387,9.6,0.66,0.15,0.54,6,0
388,9.2,0.46,0.26,0.74,6,0
389,10.0,0.38,0.31,0.7,7,1
390,12.9,0.85,0.05,0.82,8,1
391,10.0,0.415,0.68,0.8,6,0
392,9.5,0.37,0.52,0.51,5,0
393,9.1,0.665,0.61,0.54,5,0
394,9.9,0.6,0.65,0.57,5,0
395,13.0,0.37,0.76,0.6,7,1
396,9.9,0.735,0.02,0.53,5,0
397,11.0,0.59,0.59,0.65,6,0
398,11.0,0.59,0.59,0.65,6,0
399,9.4,0.765,0.22,0.55,5,0
400,9.9,0.735,0.02,0.53,5,0
401,10.8,0.26,0.3,0.47,6,0
402,10.5,0.48,0.54,0.61,6,0
403,10.5,0.6,0.49,0.63,6,0
404,9.1,0.69,0.05,0.61,5,0
405,10.1,0.31,0.46,0.76,6,0
406,10.8,0.44,0.47,0.65,6,0
407,10.8,0.39,0.66,0.63,7,1
408,11.3,0.34,0.58,0.7,6,0
409,9.6,0.46,0.49,0.57,4,0
410,9.5,0.43,0.34,0.62,6,0
411,9.5,0.45,0.35,0.62,5,0
412,9.3,0.735,0.16,0.64,5,0
413,11.7,0.4,0.53,0.82,7,1
414,9.5,0.52,0.34,0.61,5,0
415,9.3,0.725,0.24,1.07,5,0
416,11.7,0.48,0.64,0.66,6,0
417,10.5,0.58,0.12,0.48,5,0
418,10.4,0.38,0.51,0.76,6,0
419,9.9,0.77,0.0,0.68,5,0
420,11.8,0.56,0.33,0.73,7,1
421,12.3,0.84,0.03,0.56,7,1
422,10.9,0.96,0.2,0.44,5,0
423,11.0,0.24,0.47,0.9,7,1
424,10.9,0.96,0.2,0.44,5,0
425,12.3,0.84,0.03,0.56,7,1
426,11.4,0.67,0.08,0.49,6,0
427,10.6,0.78,0.22,0.56,6,0
428,9.3,0.52,0.33,0.6,5,0
429,10.4,0.84,0.63,0.6,6,0
430,11.0,0.24,0.47,0.9,7,1
431,9.2,0.55,0.35,0.56,5,0
432,12.8,0.37,0.69,0.65,6,0
433,9.5,0.39,0.63,0.49,5,0
434,9.9,0.41,0.55,0.89,6,0
435,9.5,0.39,0.63,0.49,5,0
436,10.2,0.67,0.3,0.56,6,0
437,11.2,0.45,0.73,0.66,6,0
438,9.9,0.41,0.55,0.89,6,0
439,9.3,0.62,0.18,0.6,5,0
440,9.8,0.31,0.72,0.82,8,1
441,11.3,0.4,0.65,0.68,6,0
442,11.2,0.685,0.76,0.68,7,1
443,11.6,0.44,0.49,0.63,7,1
444,12.5,0.57,0.01,0.84,7,1
445,10.1,0.735,0.1,0.56,6,0
446,10.5,0.38,0.6,0.73,5,0
447,11.2,0.48,0.29,0.72,5,0
448,10.2,0.53,0.22,0.56,6,0
449,10.8,0.39,0.69,0.61,6,0
450,10.8,0.39,0.69,0.61,6,0
451,9.1,0.37,0.53,1.06,6,0
452,10.0,0.56,0.03,0.63,6,0
453,11.2,0.33,0.63,0.74,7,1
454,11.1,0.23,0.4,0.63,5,0
455,13.4,0.62,0.67,0.69,8,1
456,10.3,0.59,0.39,0.58,5,0
457,9.6,0.63,0.21,0.58,5,0
458,11.2,0.33,0.63,0.74,7,1
459,9.0,0.58,0.66,0.57,3,0
460,11.3,0.43,0.52,0.61,6,0
461,9.3,0.615,0.22,0.61,5,0
462,11.8,0.26,0.68,0.61,5,0
463,9.0,0.66,0.7,0.53,5,0
464,9.2,0.315,0.54,0.7,6,0
465,9.7,0.29,0.4,0.91,5,0
466,11.5,0.5,0.42,0.72,6,0
467,14.0,0.46,0.45,0.79,6,0
468,9.2,0.36,0.69,0.62,6,0
469,9.8,0.82,0.02,0.58,5,0
470,10.6,0.32,0.65,0.61,5,0
471,11.4,0.54,0.42,0.71,6,0
472,10.4,0.37,0.55,0.82,6,0
473,10.6,0.35,0.55,0.79,5,0
474,9.4,0.28,0.51,0.89,6,0
475,10.2,0.68,0.24,0.6,5,0
476,9.7,0.27,0.41,0.7,5,0
477,11.0,0.24,0.49,1.06,6,0
478,10.2,0.68,0.24,0.6,5,0
479,10.1,0.685,0.11,0.7,6,0
480,9.2,0.28,0.39,0.66,5,0
481,11.7,0.3,0.56,0.92,8,1
482,9.4,0.36,0.59,1.05,5,0
483,9.4,0.36,0.6,1.06,5,0
484,13.4,0.44,0.68,0.66,6,0
485,10.0,0.67,0.39,0.47,5,0
486,10.0,0.67,0.39,0.47,5,0
487,10.0,0.645,0.36,0.42,6,0
488,10.8,0.32,0.55,0.92,7,1
489,10.2,0.39,0.4,0.75,6,0
490,10.6,0.775,0.27,0.67,6,0
491,13.3,0.41,0.5,0.79,7,1
492,13.4,0.4,0.51,0.9,7,1
493,11.6,0.69,0.31,0.74,6,0
494,12.1,0.39,0.23,0.55,6,0
495,11.0,0.35,0.53,0.65,8,1
496,9.0,0.52,0.25,0.65,6,0
497,11.1,0.34,0.32,0.79,5,0
498,11.0,0.35,0.53,0.65,8,1
499,11.6,0.69,0.31,0.74,6,0
500,9.0,0.52,0.25,0.65,6,0
501,12.0,0.44,0.73,0.85,7,1
502,12.0,0.44,0.73,0.85,7,1
503,10.9,0.26,0.47,1.04,7,1
504,10.8,0.24,0.42,1.05,7,1
505,12.5,0.49,0.63,0.78,7,1
506,10.8,0.24,0.46,1.02,7,1
507,9.5,0.67,0.55,0.71,6,0
508,10.2,0.59,0.31,0.63,6,0
509,11.4,0.29,0.75,0.68,7,1
510,9.5,0.42,0.49,0.61,5,0
511,10.2,0.59,0.31,0.63,6,0
512,9.7,0.4,0.48,0.81,6,0
513,11.8,0.51,0.64,0.66,7,1
514,11.8,0.51,0.64,0.66,7,1
515,9.3,0.655,0.49,1.14,5,0
516,11.9,0.6,0.49,0.74,6,0
517,8.4,0.61,0.49,0.63,3,0
518,11.7,0.21,0.49,0.68,6,0
519,11.0,0.365,0.49,0.78,5,0
520,10.0,0.25,0.49,0.9,6,0
521,9.1,0.41,0.49,0.64,5,0
522,9.8,0.39,0.49,0.99,5,0
523,9.4,0.4,0.49,0.55,5,0
524,9.5,0.43,0.49,0.64,5,0
525,9.9,0.64,0.24,0.67,5,0
526,11.0,0.365,0.49,0.78,5,0
527,11.4,0.38,0.49,0.77,6,0
528,8.7,0.42,0.49,0.75,6,0
529,9.4,0.63,0.24,0.57,5,0
530,10.3,0.22,0.24,0.87,6,0
531,10.3,0.38,0.49,0.61,5,0
532,10.3,0.38,0.49,0.61,5,0
533,12.8,0.27,0.24,0.66,6,0
534,10.0,0.48,0.24,0.56,6,0
535,10.3,0.22,0.24,0.87,6,0
536,9.4,0.63,0.24,0.57,5,0
537,10.7,0.825,0.24,0.77,6,0
538,12.0,0.35,0.49,0.66,7,1
539,11.2,0.5,0.74,0.62,5,0
540,9.6,0.59,0.24,0.67,5,0
541,11.0,0.46,0.49,0.73,6,0
542,9.9,0.715,0.24,0.59,5,0
543,11.0,0.66,0.24,0.72,6,0
544,8.4,0.31,0.74,0.79,6,0
545,9.1,0.47,0.49,0.59,5,0
546,9.5,0.55,0.24,0.78,6,0
547,10.7,0.31,0.49,0.86,6,0
548,10.4,0.35,0.49,0.75,6,0
549,9.4,0.53,0.49,0.61,6,0
550,9.5,0.51,0.01,0.56,6,0
551,10.0,0.43,0.24,0.73,6,0
552,10.0,0.46,0.24,0.74,6,0
553,11.5,1.04,0.24,0.62,5,0
554,11.1,0.645,0.49,0.74,5,0
555,11.1,0.645,0.49,0.74,5,0
556,11.7,0.53,0.49,0.56,6,0
557,11.1,0.645,0.49,0.74,5,0
558,11.7,0.53,0.49,0.56,6,0
559,12.7,0.47,0.49,0.68,6,0
560,11.4,0.6,0.49,0.57,5,0
561,9.2,0.44,0.49,0.58,5,0
562,9.2,0.54,0.49,0.61,5,0
563,10.1,0.29,0.49,0.61,6,0
564,12.7,0.47,0.49,0.68,6,0
565,11.4,0.6,0.49,0.57,5,0
566,9.0,0.7,0.24,0.6,6,0
567,9.0,0.7,0.24,0.6,6,0
568,10.7,0.5,0.49,0.79,6,0
569,11.7,0.36,0.24,0.57,6,0
570,11.0,0.35,0.49,0.91,6,0
571,11.7,0.36,0.24,0.57,6,0
572,10.4,0.24,0.49,0.61,5,0
573,9.6,0.59,0.49,0.56,4,0
574,10.0,0.34,0.49,0.7,6,0
575,10.2,0.27,0.49,0.8,6,0
576,10.0,0.5,0.24,0.52,4,0
577,9.5,0.44,0.49,0.6,5,0
578,9.8,0.47,0.49,0.6,5,0
579,9.8,0.31,0.49,0.51,6,0
580,9.6,0.5,0.49,0.44,5,0
581,9.6,0.5,0.49,0.44,5,0
582,9.2,0.49,0.49,0.43,5,0
583,9.9,0.28,0.49,0.66,7,1
584,10.7,0.33,0.49,0.76,7,1
585,9.6,0.51,0.24,0.66,6,0
586,10.6,0.31,0.49,1.02,7,1
587,9.3,0.73,0.24,0.59,5,0
588,14.0,0.42,0.24,0.74,8,1
589,10.5,0.29,0.49,0.74,7,1
590,9.7,0.45,0.49,0.57,5,0
591,11.5,0.39,0.49,0.5,6,0
592,9.7,0.45,0.49,0.57,5,0
593,9.0,0.49,0.58,0.58,5,0
594,9.5,0.72,0.17,0.53,5,0
595,9.3,0.595,0.41,0.57,5,0
596,9.3,0.4,0.51,0.6,6,0
597,10.0,0.58,0.58,0.63,6,0
598,9.8,0.585,0.18,0.48,6,0
599,9.3,0.59,0.45,0.7,6,0
600,10.0,0.915,0.27,0.47,4,0
601,9.0,0.46,0.52,0.56,6,0
602,9.3,0.835,0.0,0.52,5,0
603,9.0,0.46,0.52,0.56,6,0
604,9.1,0.58,0.13,0.62,6,0
605,9.2,0.6,0.13,0.59,6,0
606,12.2,0.41,0.48,0.79,7,1
607,10.5,0.48,0.41,0.53,6,0
608,10.4,0.65,0.37,0.64,6,0
609,12.7,0.36,0.19,0.52,6,0
610,9.2,0.24,0.54,0.54,5,0
611,9.4,0.38,0.55,0.54,5,0
612,10.0,0.64,0.0,0.6,6,0
613,9.8,0.39,0.38,0.74,5,0
614,10.2,0.755,0.18,1.36,6,0
615,9.7,0.6,0.5,0.57,5,0
616,9.7,0.6,0.5,0.57,5,0
617,9.8,0.31,0.51,0.93,6,0
618,10.2,0.46,0.5,0.7,5,0
619,9.3,0.37,0.41,0.8,5,0
620,9.4,0.54,0.24,0.61,5,0
621,9.4,0.56,0.23,0.62,5,0
622,9.5,0.58,0.22,0.55,5,0
623,12.1,0.51,0.25,0.96,6,0
624,10.2,0.69,0.0,0.72,5,0
625,10.2,0.69,0.0,0.72,5,0
626,9.1,0.6,0.29,0.49,5,0
627,9.1,0.6,0.29,0.49,5,0
628,9.3,0.54,0.26,0.6,6,0
629,9.3,0.685,0.23,0.61,5,0
630,9.3,0.54,0.26,0.6,6,0
631,9.5,0.28,0.54,0.63,5,0
632,10.5,0.41,0.14,0.57,6,0
